Waste (bio) assumptions;Category;Subcategory;Subsubcategory;Scenario A 2037;Scenario B 2037;Scenario C 2037;Scenario A 2045;Scenario B 2045;Scenario C 2045
Installed power[GW];power_generation;Waste;assumptions;1.0;1.0;1.0;1.0;1.0;1.0
Annual full load hours [h/y];power_generation;Waste;assumptions;5000.0;5000.0;5000.0;5000.0;5000.0;5000.0
