Geräte Stromverbrauch [TWh];Category;Subcategory;Subsubcategory;Scenario A 2037;Scenario B 2037;Scenario C 2037;Scenario A 2045;Scenario B 2045;Scenario C 2045
Households;energy_consumption;net_electricity;Appliance consumption in HH and CTS[TWh];104.0;104.0;114.3;90.4;90.4;114.3
CTS;energy_consumption;net_electricity;Appliance consumption in HH and CTS[TWh];103.1;103.1;116.6;96.9;96.9;116.6
