Heating type;Category;Subcategory;Subsubcategory;Scenario A 2037;Scenario B 2037;Scenario C 2037;Scenario A 2045;Scenario B 2045;Scenario C 2045
Industrial-sized heatpump [TWh];energy_consumption;net_electricity;industrial heating energy consumption [TWh];18.2;14.6;28.7;19.1;15.9;31.8
Electrode heating [TWh];energy_consumption;net_electricity;industrial heating energy consumption [TWh];4.0;8.0;8.0;5.5;11.0;11.0
