Offshore region[GW];Category;Subcategory;Subsubcategory;Scenario A 2037;Scenario B 2037;Scenario C 2037;Scenario A 2045;Scenario B 2045;Scenario C 2045
North sea;power_generation;Wind offshore;assumptions;46.4;54.4;54.4;64.9;64.9;64.9
Baltic sea;power_generation;Wind offshore;assumptions;4.1;4.1;4.1;5.1;5.1;5.1
