Wärmepumpen;Category;Subcategory;Subsubcategory;Scenario C 2037;Scenario C 2045;Scenario A 2037;Scenario B 2037;Scenario A 2045;Scenario B 2045
Annual consumption households [TWh];energy_consumption;net_electricity;non-industrial energy consumption [TWh];68.9;71.4;52.9;52.9;53.0;53.0
Annual consumption CTS [TWh];energy_consumption;net_electricity;non-industrial energy consumption [TWh];19.3;19.7;14.9;14.9;14.6;14.6
Annual consumption total [TWh];energy_consumption;net_electricity;non-industrial energy consumption [TWh];88.2;91.1;67.8;67.8;67.6;67.6
