Potenzial [GW];Category;Subcategory;Subsubcategory;Scenario A 2037;Scenario B 2037;Scenario C 2037;Scenario A 2045;Scenario B 2045;Scenario C 2045
Industry;storage_flexibility;demand side mgmt;potentials in industries and commercial, trade, service[GW];2.5;4.1;4.1;5.3;6.7;6.7
CTS;storage_flexibility;demand side mgmt;potentials in industries and commercial, trade, service[GW];2.5;3.1;3.1;3.6;5.3;5.3
